generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,96.6584,92.8924,97.7739,97.4272,98.2839,89.6702,90.8796,99.9424,98.0901,94.1339,living,best,half,0.5,10,4
1.0,91.6248,75.1996,99.9915,86.3839,99.1719,81.5616,99.8976,97.8684,93.8892,77.646,living,best,half,0.5,10,4
2.0,79.9833,97.6652,91.9344,63.2522,97.4973,99.4816,81.2511,24.4144,97.8684,99.9112,living,best,half,0.5,10,4
3.0,99.8789,90.8675,41.7831,86.4281,96.8102,99.2978,13.8816,92.6884,97.9436,87.4401,living,best,half,0.5,10,4
4.0,88.6835,99.9904,64.5975,92.3934,96.4128,63.7837,81.1818,93.3951,99.9888,93.3848,living,best,half,0.5,10,4
5.0,99.9576,63.3006,99.9933,84.5079,97.75,99.9124,97.2444,84.0799,16.7161,75.7148,living,best,half,0.5,10,4
6.0,97.1236,96.1741,90.4519,96.7239,91.6941,99.2638,95.446,72.1216,99.7847,88.0837,living,best,half,0.5,10,4
7.0,99.3853,11.0374,47.6114,81.3721,66.3136,94.8471,90.2031,89.9511,87.3691,82.0563,living,best,half,0.5,10,4
8.0,6.7617,98.6451,62.7412,96.76,96.3213,0.0,91.786,99.6543,99.1936,96.9654,living,best,half,0.5,10,4
9.0,99.8185,97.744,98.7321,99.9542,99.9395,99.1972,7.1475,99.3947,99.7275,99.5044,living,best,half,0.5,10,4
10.0,91.0,94.0,100.0,22.0,95.0,98.0,15.0,89.0,9.0,85.0,living,best,half,0.5,10,4
