generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,99.8844,92.71,99.7753,99.3011,99.9979,79.5696,99.7127,13.4728,54.4645,96.5701,living,best,half,0.1,10,4
1.0,99.7127,13.063,99.883,98.4425,98.5311,89.8111,98.9226,96.8387,78.5446,94.8743,living,best,half,0.1,10,4
2.0,99.895,100.0,99.7127,90.2281,99.9064,91.59,99.8432,99.3822,96.8102,99.895,living,best,half,0.1,10,4
3.0,99.9744,58.5006,97.9665,96.5031,99.4816,97.4783,99.9926,99.7358,99.2185,95.4716,living,best,half,0.1,10,4
4.0,99.9576,90.2281,99.8541,99.9385,97.5099,99.752,99.3822,99.969,99.9841,99.1314,living,best,half,0.1,10,4
5.0,96.4279,99.9846,9.141,97.7859,97.9949,99.4102,99.9576,99.8029,99.7106,99.9654,living,best,half,0.1,10,4
6.0,99.4758,99.9542,90.8312,99.6424,99.9861,18.5674,1.7126,93.5484,1.1964,99.9324,living,best,half,0.1,10,4
7.0,96.5404,99.9962,98.7276,99.0552,97.8508,99.8448,99.7337,95.0982,89.7344,90.1153,living,best,half,0.1,10,4
8.0,91.7171,99.6682,90.7827,99.7657,97.7739,99.9292,98.9677,99.869,99.4959,99.2291,living,best,half,0.1,10,4
9.0,74.7594,30.711,99.9888,30.711,92.8283,99.8151,99.9926,99.8601,99.9875,99.8151,living,best,half,0.1,10,4
10.0,94.0,100.0,99.0,100.0,88.0,98.0,100.0,92.0,100.0,77.0,living,best,half,0.1,10,4
