generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,88.8844,97.6284,99.9249,98.9017,90.1027,33.1857,99.869,74.98,90.0144,91.4619,living,random,half,0.1,10,4
1.0,0.0,77.3424,90.1655,82.4104,97.7139,75.7936,99.3044,90.2905,98.4475,91.1791,living,random,half,0.1,10,4
2.0,97.1168,99.9567,92.5143,92.0137,84.7744,23.7172,91.6479,99.9216,79.0419,89.4375,living,random,half,0.1,10,4
3.0,99.9147,95.4033,94.5338,99.9964,9.141,87.2836,98.5744,0.0,97.0416,1.1169,living,random,half,0.1,10,4
4.0,2.9381,89.4375,0.9577,99.9124,7.6863,1.5936,0.7984,21.394,86.2656,99.9915,living,random,half,0.1,10,4
5.0,86.9823,97.6713,81.2857,13.1376,95.1071,8.4916,1.1169,89.8621,94.8924,30.8441,living,random,half,0.1,10,4
6.0,99.8803,99.9841,97.9322,41.2938,98.9677,97.6713,99.1864,74.6186,28.2591,99.9334,living,random,half,0.1,10,4
7.0,98.5311,95.7234,99.9948,98.8551,3.135,7.9552,7.2631,80.6048,14.9916,4.5862,living,random,half,0.1,10,4
8.0,12.6523,4.3516,79.0968,98.7004,99.3568,14.3635,18.2061,10.3948,99.9971,86.7504,living,random,half,0.1,10,4
9.0,67.8511,12.278,99.6613,67.8511,8.0703,92.935,10.7353,97.0347,8.0703,14.3635,living,random,half,0.1,10,4
10.0,95.0,0.0,0.0,14.0,70.0,1.0,95.0,4.0,9.0,7.0,living,random,half,0.1,10,4
