generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,98.6729,99.8601,80.1797,92.8069,97.0209,95.59,98.0845,98.5165,24.9004,99.9841,living,tournament,half,0.1,10,4
1.0,99.4285,99.8911,98.8722,99.8989,93.1775,99.9888,99.4959,99.1239,99.744,99.1351,living,tournament,half,0.1,10,4
2.0,97.6407,98.7501,99.9826,94.8289,98.1231,99.987,99.9647,97.8332,99.8352,94.1048,living,tournament,half,0.1,10,4
3.0,8.1086,99.9757,89.58,98.1613,99.5239,92.1824,98.1613,99.987,97.0485,99.9676,living,tournament,half,0.1,10,4
4.0,98.1613,99.9576,100.0,94.7925,97.5225,99.3243,93.8297,99.987,83.2883,98.2787,living,tournament,half,0.1,10,4
5.0,100.0,99.987,99.1051,99.748,86.5311,82.7609,99.9414,99.4465,99.9977,95.6068,living,tournament,half,0.1,10,4
6.0,98.5887,91.3564,97.1168,84.3659,94.6361,98.4574,97.9379,93.041,69.75,98.0288,living,tournament,half,0.1,10,4
7.0,97.6222,99.2256,91.7056,99.1051,97.8037,98.2944,99.9815,95.4971,99.8586,96.5775,living,tournament,half,0.1,10,4
8.0,98.8119,86.1616,98.2364,96.2596,97.1168,98.7501,97.2311,99.9912,96.9305,95.1336,living,tournament,half,0.1,10,4
9.0,98.6451,96.3289,95.7234,98.8422,93.2192,95.0805,99.1202,97.8567,98.2734,21.1101,living,tournament,half,0.1,10,4
10.0,3.0,12.0,99.0,100.0,99.0,98.0,98.0,98.0,98.0,94.0,living,tournament,half,0.1,10,4
