generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,83.7752,99.8898,92.5689,94.2879,26.1088,15.9844,14.7702,93.041,3.7639,1.1169,living,weighted,half,0.1,10,4
1.0,98.6264,97.1641,90.4643,100.0,99.6613,97.8859,95.4886,96.4656,97.2044,96.7672,living,weighted,half,0.1,10,4
2.0,96.9724,98.5213,95.531,93.5281,99.6519,99.0,96.0875,99.4987,99.9997,99.9452,living,weighted,half,0.1,10,4
3.0,99.2707,98.5116,96.9724,99.8082,91.9003,99.9414,98.4674,97.5414,94.4869,98.0845,living,weighted,half,0.1,10,4
4.0,96.6511,99.6495,91.4268,99.9676,99.6774,99.7902,99.9945,96.6364,99.1202,99.9027,living,weighted,half,0.1,10,4
5.0,62.079,99.9238,97.8859,94.6361,91.7516,96.6511,99.8976,99.9969,99.6495,99.257,living,weighted,half,0.1,10,4
6.0,95.6486,97.1168,96.6584,22.8413,99.0746,98.0456,92.3382,81.7842,17.0808,95.5984,living,weighted,half,0.1,10,4
7.0,83.968,93.062,95.7975,80.2864,97.9149,98.2996,23.6474,46.7392,97.1641,99.9997,living,weighted,half,0.1,10,4
8.0,96.5478,99.9892,96.4581,84.5236,88.4128,99.7828,90.303,98.0956,95.0092,90.2656,living,weighted,half,0.1,10,4
9.0,95.3689,96.4581,91.2857,89.5283,96.1506,62.7412,98.996,75.7542,82.4104,98.6544,living,weighted,half,0.1,10,4
10.0,91.0,97.0,83.0,92.0,93.0,99.0,63.0,96.0,100.0,91.0,living,weighted,half,0.1,10,4
